"term","tau","estimate","std.error","p.value"
"bs(Age, knots = c(21, 45, 60))6",0.9,-109775.625791443,96368.6915675645,0.254652913036354
"TitleIX_18Some1",0.9,-289.43835653713,111.819560728,0.00964131144038438
"TitleIX_18Some2",0.9,-588.65014456756,122.408967725335,1.51804533454758e-06
"TitleIX_18Some3",0.9,-524.014956138493,96.9794574865969,6.54220704277009e-08
"TitleIX_18Some4",0.9,-669.93951160002,98.14073194833,8.71835936777643e-12
"TitleIX_18Some5",0.9,-571.18760584129,85.5280825622406,2.41779929410768e-11
"TitleIX_18Some6",0.9,-445.152366882221,127.833279782087,0.000497173608652979
"TitleIX_18Some7",0.9,-656.030330882358,113.913728734888,8.46387138153659e-09
"TitleIX_18Some8",0.9,-838.678192998984,94.4932991422403,0
"TitleIX_18Some9",0.9,-832.910703530928,99.1865322535687,0
"TitleIX_18Some10",0.9,-1046.52337281424,94.4104715419031,0
"TitleIX_18Some11",0.9,-846.371259668257,82.5371291806247,0
"TitleIX_18Some12",0.9,-924.97476530383,100.667450002564,0
"TitleIX_18Some13",0.9,-587.614918030694,86.9152921017617,1.37343469930329e-11
"TitleIX_18Some14",0.9,-943.032315058293,76.3601480083312,0
"TitleIX_18Some15",0.9,-720.780317576028,72.9931003643658,0
"TitleIX_18Some16",0.9,-650.342662924421,85.501676285218,2.8421709430404e-14
"TitleIX_18Yes",0.9,-443.826403640808,46.242867927228,0
"GenderM",0.9,-124046.073882685,96842.7595590386,0.200228491592126
"bs(Age, knots = c(21, 45, 60))1:GenderM",0.9,122851.223547606,97254.5919275592,0.206520543328886
"bs(Age, knots = c(21, 45, 60))2:GenderM",0.9,123025.117655272,96721.9050344952,0.203392383464912
"bs(Age, knots = c(21, 45, 60))3:GenderM",0.9,120959.163815932,96901.3922816676,0.211932316438855
"bs(Age, knots = c(21, 45, 60))4:GenderM",0.9,121348.87248269,96752.2831751863,0.209761569932602
"bs(Age, knots = c(21, 45, 60))5:GenderM",0.9,123122.743954378,97068.3579894919,0.20465094789938
"bs(Age, knots = c(21, 45, 60))6:GenderM",0.9,121859.916033493,96413.5896976302,0.20625593152538
